strength_config,regime,top8_title_share,ladder,knockout_ladder,w_pts,d_pts,mix,teams_per_drafter,policy,n_eval_tournaments,n_draws,spearman_mean,spearman_sd,spearman_cluster_se,spearman_undefined_frac,skill_variance_share,sigma2_between,sigma2_within,top_tie_rate,top_tie_rate_cluster_se,winning_score_mean,winning_score_sd,winning_score_p05,winning_score_p95,slot_win_prob_spread,slot_win_prob_spread_cluster_se,slot_imbalance_index,champion_undrafted_rate,p_champion_holder_wins,group_variance_share,group_variance_share_cluster_se,alive_fraction,alive_fraction_cluster_se,pool_suspense,pool_suspense_cluster_se,pool_suspense_group_share,pool_suspense_group_share_cluster_se,pool_surprise,pool_surprise_cluster_se,pool_surprise_group_share,pool_surprise_group_share_cluster_se,br_slot,slot1_win_prob,slot2_win_prob,slot3_win_prob,slot4_win_prob,slot5_win_prob,slot6_win_prob,slot7_win_prob,slot8_win_prob,gamma_target,gamma_realised,is_gamma_match,gamma_match_value,group_purse,knockout_purse,delta_skill_vs_anchor,delta_skill_paired_se
elo_2026,resampled,0.9140400000000001,linear,linear,1.0,0.0,0.0,6,ev_greedy,200000,100,0.21137405386598818,0.3604170189429637,0.004140594487881076,0.0,0.0562961481572121,0.34829285562500006,5.8385044125,0.21253,0.0011140475843526704,11.877845,1.4655760491953327,10.0,15.0,0.15627229761904762,0.003188186592236028,0.1796290296448844,0.0,0.4763037619047619,0.0,0.0,1.0,0.0,0.6625767716526986,0.0017790634457805921,0.0,0.0,0.6625767716526986,0.0017790634457805921,0.0,0.0,-1,0.23508617857142858,0.17676888095238097,0.1471412619047619,0.10431492857142857,0.08910701190476189,0.08718951190476189,0.08157834523809525,0.07881388095238095,0.0,0.0,False,0.2341993975635452,57.800537109375,63.0,0.0,0.0
elo_2026,resampled,0.9140400000000001,linear,linear,3.0,1.0,0.0161654097892667,6,ev_greedy,200000,100,0.2018384575800693,0.3619855159862135,0.004270813359292403,0.0,0.055815549071638666,0.3421927258306846,5.788585014821546,0.006475,0.00016717724822245495,12.140233504521994,1.4482129430700572,10.242481146839001,15.113157868524866,0.15022666666666668,0.003175172260410011,0.16678005733333331,0.0,0.4576175,0.0009226291203073151,4.384434727042951e-06,0.9999862499999999,3.0229551064736194e-06,0.9145774976412454,0.0018887949232877037,0.08503161513444184,0.0005151606910367491,0.9145774976412454,0.0018887949232877037,0.08503161513444184,0.0005151606910367491,-1,0.2313025,0.174445,0.14641083333333332,0.10525333333333332,0.09100583333333334,0.08744333333333332,0.08306333333333332,0.08107583333333333,0.05,0.05,False,0.26248750796679715,201.800537109375,63.0,-0.009535596285918848,0.0007906174101986052
elo_2026,resampled,0.9140400000000001,linear,linear,3.0,1.0,0.040832977034298695,6,ev_greedy,200000,100,0.20170399176478196,0.3621622882865033,0.004197930307514658,0.0,0.05467788026776935,0.333075555866497,5.7585204283844345,0.013455,0.00029224790569624,12.55050363738643,1.4270252326935677,10.612494655514482,15.32666381627439,0.15038041666666663,0.0030004335226770026,0.16769933966666664,0.0,0.4588733333333333,0.005915240400175495,2.9196708228689134e-05,0.9999862500000001,2.7495408248412794e-06,0.8959093276659648,0.0019827538179403217,0.08698011064307755,0.0005716718623545991,0.8959093276659648,0.0019827538179403217,0.08698011064307755,0.0005716718623545991,-1,0.23084333333333332,0.17553791666666665,0.1467975,0.105265,0.09104708333333332,0.08705666666666666,0.08298958333333332,0.08046291666666668,0.12,0.11999999999999998,False,0.26248750796679715,201.800537109375,63.0,-0.009670062101206208,0.0008459395898293401
elo_2026,resampled,0.9140400000000001,linear,linear,3.0,1.0,0.09425470994125518,6,ev_greedy,200000,100,0.1979959770862966,0.36241560560562236,0.0042856092109337645,0.0,0.05187234044523899,0.31370147684200816,5.733865957929497,0.00685,0.0001898298014942689,13.430629676591158,1.397387152351718,11.508075359060083,15.97934890876636,0.14566166666666666,0.00316565205591413,0.15745042937777773,0.0,0.447635,0.03152834609661023,0.00013035521073177534,0.9999837500000001,3.0281715988889977e-06,0.906053424278895,0.0020903180766686036,0.0905402798091246,0.0006161027930011155,0.906053424278895,0.0020903180766686036,0.0905402798091246,0.0006161027930011155,-1,0.22737416666666665,0.17255666666666664,0.14852166666666666,0.10637916666666666,0.091215,0.08671833333333333,0.0855225,0.0817125,0.25,0.25,False,0.26248750796679715,201.800537109375,63.0,-0.013378076779691574,0.0011782549959277416
elo_2026,resampled,0.9140400000000001,linear,linear,3.0,1.0,0.23791492527818422,6,ev_greedy,200000,100,0.17578773601121878,0.36556918822856865,0.004536056429653574,0.0,0.04112477027737244,0.2647424719787202,6.17280040529751,0.00665,0.0001799971941419918,15.944226717523048,1.3915908309198712,13.996213430841868,18.520383580285497,0.12221749999999999,0.003191538059436931,0.11184758423888888,0.0,0.38055708333333327,0.18703727298349412,0.0006106870404492626,0.9991174999999999,2.8123667196253766e-05,0.8173692087332407,0.0018380440381952016,0.14279601491164715,0.0010764606297272417,0.8173692087332407,0.0018380440381952016,0.14279601491164715,0.0010764606297272417,-1,0.2108775,0.16503083333333332,0.1459579166666667,0.10873875,0.09696375,0.09213291666666666,0.09163833333333334,0.08866,0.5,0.5,False,0.26248750796679715,201.800537109375,63.0,-0.03558631785476939,0.0022937259451762493
elo_2026,resampled,0.9140400000000001,linear,linear,3.0,1.0,0.1,6,ev_greedy,200000,100,0.19760233644448358,0.36258633909145366,0.004297768769071351,0.0,0.05149756770275838,0.31166471109414523,5.740363083559377,0.01061,0.0002630032453615489,13.525874000000002,1.3964166055028135,11.6,16.1,0.1451525,0.0032511565066529733,0.15556910099999996,0.0,0.44477583333333326,0.03548622292817865,0.00014353971431226348,0.99998375,3.028171598888997e-06,0.900469628572464,0.0020014815204879898,0.09189069464482445,0.0006164299423649561,0.900469628572464,0.0020014815204879898,0.09189069464482445,0.0006164299423649561,-1,0.22666666666666666,0.1729575,0.1475725,0.10652,0.09146,0.08774666666666667,0.0855625,0.08151416666666667,-1.0,0.26248750796679715,True,0.26248750796679715,201.800537109375,63.0,-0.01377171742150458,0.001224568877916599
elo_2026,resampled,0.9140400000000001,linear,linear,2.0,1.0,0.022508038585209007,6,ev_greedy,200000,100,0.20059206099264418,0.36207857720178194,0.004284473214382529,0.0,0.05566492712300709,0.33617986148739104,5.703168052226903,0.00971,0.00022124304474600967,12.057989726688103,1.4379168208534967,10.180064308681672,15.02250803858521,0.14976249999999997,0.0031928263842347137,0.16582988828888884,0.0,0.45965583333333326,0.0007759490620519528,3.8565760293836625e-06,0.9999849999999999,3.0926354359010276e-06,0.9140636042753856,0.0018576466403315054,0.08504351762261045,0.000529511237496696,0.9140636042753856,0.0018576466403315054,0.08504351762261045,0.000529511237496696,-1,0.23111166666666663,0.17421833333333336,0.1462075,0.10532833333333334,0.09089416666666666,0.08790916666666666,0.08298166666666668,0.08134916666666667,0.05,0.05,False,0.2758620689655172,144.0,63.0,-0.010781992873343962,0.0007960552248554729
elo_2026,resampled,0.9140400000000001,linear,linear,2.0,1.0,0.05630026809651474,6,ev_greedy,200000,100,0.19995893706394946,0.3622127629941466,0.0042174368415271776,0.0,0.054330859226434984,0.31849746504675636,5.543686008241471,0.009565,0.00021327828361702994,12.337584088471848,1.4018050271503297,10.450402144772118,15.056300268096516,0.14869500000000002,0.0030600048632162084,0.1649850283644445,0.0,0.4603485,0.0049982373309406195,2.4711480395173156e-05,0.9999831250000001,3.1850294941780222e-06,0.9006278080145519,0.002041541224329745,0.08695178599631768,0.0005811783222502827,0.9006278080145519,0.002041541224329745,0.08695178599631768,0.0005811783222502827,-1,0.2297435,0.17530350000000003,0.1470075,0.10525,0.09138666666666666,0.08690433333333332,0.083356,0.08104849999999998,0.12,0.12000000000000001,False,0.2758620689655172,144.0,63.0,-0.011415116802038692,0.000879220795163254
elo_2026,resampled,0.9140400000000001,linear,linear,2.0,1.0,0.12727272727272726,6,ev_greedy,200000,100,0.19629031889312862,0.36276816349373114,0.004239738902141554,0.0,0.05122173823781652,0.28279670260702616,5.2382323045311985,0.009925,0.0002374501542589008,12.913142545454544,1.3391672930549907,11.018181818181818,15.381818181818181,0.1439208333333333,0.0032180974339314364,0.1550893891,0.0,0.44646333333333327,0.026936188507125508,0.0001131520656036163,0.9999825,3.449674263644524e-06,0.8728038378556568,0.0021497048459606966,0.09301837145671532,0.0006274631450500283,0.8728038378556568,0.0021497048459606966,0.09301837145671532,0.0006274631450500283,-1,0.2265758333333333,0.17268083333333337,0.14758916666666666,0.10710916666666667,0.0911275,0.08729416666666666,0.08496833333333334,0.082655,0.25,0.24999999999999994,False,0.2758620689655172,144.0,63.0,-0.015083734972859546,0.0011592127614989574
elo_2026,resampled,0.9140400000000001,linear,linear,2.0,1.0,0.30434782608695654,6,ev_greedy,200000,100,0.1733212967995558,0.3660899107901158,0.004553454612613985,0.0,0.04009809022810723,0.20335443721052587,4.868070063400284,0.012265,0.0002869602971165386,14.467436956521738,1.2403525886737523,12.73913043478261,16.73913043478261,0.11840166666666666,0.0032079327212826796,0.10563560145555553,0.0,0.3838416666666667,0.16538975245119605,0.0005716135462425025,0.99937125,2.4583333333333326e-05,0.8452488911151886,0.001993538087599204,0.13327529130443067,0.0010316205341805345,0.8452488911151886,0.001993538087599204,0.13327529130443067,0.0010316205341805345,-1,0.20826666666666666,0.1635333333333333,0.1463525,0.1090225,0.097565,0.09341666666666668,0.09197833333333331,0.089865,0.5,0.5000000000000001,False,0.2758620689655172,144.0,63.0,-0.03805275706643233,0.0022462437374963897
