strength_config,regime,top8_title_share,ladder,knockout_ladder,w_pts,d_pts,mix,teams_per_drafter,policy,n_eval_tournaments,n_draws,spearman_mean,spearman_sd,spearman_cluster_se,spearman_undefined_frac,skill_variance_share,sigma2_between,sigma2_within,top_tie_rate,top_tie_rate_cluster_se,winning_score_mean,winning_score_sd,winning_score_p05,winning_score_p95,slot_win_prob_spread,slot_win_prob_spread_cluster_se,slot_imbalance_index,champion_undrafted_rate,p_champion_holder_wins,group_variance_share,group_variance_share_cluster_se,alive_fraction,alive_fraction_cluster_se,pool_suspense,pool_suspense_cluster_se,pool_suspense_group_share,pool_suspense_group_share_cluster_se,pool_surprise,pool_surprise_cluster_se,pool_surprise_group_share,pool_surprise_group_share_cluster_se,br_slot,slot1_win_prob,slot2_win_prob,slot3_win_prob,slot4_win_prob,slot5_win_prob,slot6_win_prob,slot7_win_prob,slot8_win_prob,gamma_target,gamma_realised,is_gamma_match,gamma_match_value,group_purse,knockout_purse
synthetic_x0.5,resampled,0.7208399999999999,linear,linear,1.0,0.0,0.0,6,ev_greedy,50000,25,0.16455360521909163,0.36627554327331885,0.0037139722615948728,0.0,0.041277101945116065,0.34383854999999997,7.986168494999999,0.17954,0.0016819928656210171,12.61672,1.7264925257874706,10.0,16.0,0.1572066666666667,0.0029774231883614713,0.1596386137937778,0.0,0.4863533333333333,0.0,0.0,1.0,0.0,0.6817211379210153,0.0030142628127234707,0.0,0.0,0.6817211379210153,0.0030142628127234707,0.0,0.0,-1,0.24929733333333334,0.14445133333333335,0.124102,0.09848633333333331,0.09209066666666665,0.09505333333333332,0.09571700000000001,0.100802,0.0,0.0,False,0.2261284028022136,55.2265625,63.0
synthetic_x0.5,resampled,0.7208399999999999,linear,linear,3.0,1.0,0.2402502606882169,6,ev_greedy,50000,25,0.14680567159842126,0.37142932676443813,0.003942437412545875,0.0,0.03348618480150732,0.28641904980084404,8.26693068229379,0.00538,0.0002537715508089904,16.564230990615226,1.6175201614960424,14.285505735140774,19.56475495307612,0.13364666666666664,0.004391579695533513,0.11703532231111109,0.0,0.40437,0.16915335259658096,0.0007713599760859052,0.9966650000000001,0.0001558277628237856,0.8063087113698323,0.0037252766315367183,0.14257653594849584,0.0015568544416898439,0.8063087113698323,0.0037252766315367183,0.14257653594849584,0.0015568544416898439,-1,0.23115,0.14154666666666665,0.12596,0.10379,0.09750333333333334,0.09794666666666665,0.10004666666666666,0.10205666666666666,0.5,0.5,False,0.26000999214902576,199.2265625,63.0
synthetic_x0.5,resampled,0.7208399999999999,linear,linear,3.0,1.0,0.1,6,ev_greedy,50000,25,0.1574624251304457,0.36646466257641164,0.003586835412281776,0.0,0.03898433517052347,0.3180589194578244,7.840575005337501,0.00926,0.000633850665903781,14.19755,1.6495870384735691,11.9,17.200000000000003,0.14973,0.0033387285504115688,0.146628688,0.0,0.4588,0.031021231152935105,0.00017510303772124875,0.999855,2.5186802099515038e-05,0.8277424192428589,0.004172897016914095,0.10237093385996351,0.0012556400342379325,0.8277424192428589,0.004172897016914095,0.10237093385996351,0.0012556400342379325,-1,0.24329,0.14529666666666666,0.12600666666666666,0.09869666666666665,0.09356,0.09834,0.09528,0.09953,-1.0,0.26000999214902576,True,0.26000999214902576,199.2265625,63.0
synthetic_x0.5,resampled,0.7208399999999999,linear,linear,2.0,1.0,0.30434782608695654,6,ev_greedy,50000,25,0.14517786607256378,0.371309451491001,0.004034623446183334,0.0,0.03284665309026448,0.2228318801181398,6.561173768974482,0.00838,0.0004639324663497192,15.0623,1.4394959588279648,13.043478260869566,17.73913043478261,0.13121333333333335,0.004437286562420443,0.11275116960000003,0.0,0.40987666666666667,0.14661844900203683,0.0006920886508653518,0.9976675,0.000132027459265111,0.815212345123291,0.004138436629842962,0.13562435380151885,0.0015977480863016732,0.815212345123291,0.004138436629842962,0.13562435380151885,0.0015977480863016732,-1,0.22892,0.14180333333333334,0.12645333333333333,0.10342666666666667,0.09770666666666666,0.09895333333333332,0.09988666666666667,0.10285,0.5,0.5000000000000001,False,0.2758620689655172,144.0,63.0
synthetic_x0.5,resampled,0.7208399999999999,linear,linear,2.0,1.0,0.14285714285714285,6,ev_greedy,50000,25,0.15760905360929167,0.3666844956264283,0.003820552364984316,0.0,0.03829168589802405,0.28265565836734885,7.098990036734694,0.01324,0.0004682591874877274,13.715488571428573,1.569295624545078,11.57142857142857,16.571428571428573,0.14882666666666663,0.0034344647542445587,0.14372588391111105,0.0,0.4568766666666667,0.030003609498785843,0.00018013806446242424,0.9998525,2.4968730444299578e-05,0.8046540069580078,0.0033320202273313037,0.10699095776639368,0.0012573898079162695,0.8046540069580078,0.0033320202273313037,0.10699095776639368,0.0012573898079162695,-1,0.24171666666666664,0.1459133333333333,0.12650666666666666,0.09879666666666666,0.09289,0.09891,0.09575,0.09951666666666666,-1.0,0.2758620689655172,True,0.2758620689655172,144.0,63.0
synthetic_x0.5,resampled,0.7208399999999999,linear,linear,1.0,0.0,0.5328751734619706,6,ev_greedy,50000,25,0.14416929318954286,0.3703656848386395,0.0033472689848010675,0.0,0.03328870256762984,0.13040273704145547,3.7869243734557845,0.02436,0.0006937338586710805,10.427635190642965,1.0960757341929264,8.868499306152119,12.401374479614088,0.13113,0.0042487359776064455,0.11440633244444443,0.0,0.37483,0.2615103256379557,0.0005441661062898745,0.995515,0.0001610625525481734,0.7820898071924844,0.003913729525263155,0.16649243577051118,0.0019479485736252605,0.7820898071924844,0.003913729525263155,0.16649243577051118,0.0019479485736252605,-1,0.22993,0.14235,0.1245,0.10477666666666668,0.0991,0.10027333333333333,0.0988,0.10027,0.5,0.5,False,0.2261284028022136,55.2265625,63.0
synthetic_x0.5,resampled,0.7208399999999999,linear,linear,1.0,0.0,0.25,6,ev_greedy,50000,25,0.16089052954006788,0.3650705585934155,0.003310555725505853,0.0,0.040143189198129973,0.2300624586425782,5.500983410859375,0.05794,0.0009225508116087698,11.500905,1.3821117650085322,9.5,14.0,0.15363566666666661,0.0032839375501573314,0.15304983856888882,0.0,0.45956400000000003,0.0395549804317411,0.0001346141701970427,0.99985,2.5769410160113146e-05,0.8175364380412631,0.00408822247150399,0.09423323390082329,0.0011327562021503836,0.8175364380412631,0.00408822247150399,0.09423323390082329,0.0011327562021503836,-1,0.2459123333333333,0.14545233333333332,0.12609833333333334,0.098594,0.09227666666666666,0.09776166666666666,0.09488233333333333,0.09902233333333334,-1.0,0.2261284028022136,True,0.2261284028022136,55.2265625,63.0
synthetic_x0.5,resampled,0.7208399999999999,triangular,triangular,1.0,0.0,0.0,6,ev_greedy,50000,25,0.2002599039734432,0.3626817402358967,0.0032664222513053482,0.0,0.07327173394013729,5.55614822,70.27320535500002,0.04636,0.0008566018133687708,30.96598,5.373868498539949,24.0,41.0,0.25543499999999997,0.0024951558624217796,0.4386027185777777,0.0,0.773695,0.0,0.0,1.0,0.0,0.8305975977579753,0.0025650337750685497,0.0,0.0,0.8305975977579753,0.0025650337750685497,0.0,0.0,-1,0.33578166666666664,0.14817833333333333,0.11072833333333332,0.08062666666666667,0.08034666666666666,0.08154833333333333,0.08045666666666666,0.08233333333333333,0.0,0.0,False,0.13300344315038853,55.2265625,120.0
synthetic_x0.5,resampled,0.7208399999999999,triangular,triangular,3.0,1.0,0.37590856807224493,6,ev_greedy,50000,25,0.19299262707546505,0.361292690034876,0.00365883123742776,0.0,0.06652355274084436,2.5647290962957294,35.98897091860183,0.00096,0.00013820274961085253,29.592315164582367,3.840467573688876,24.25545140843347,36.752180563373365,0.22644,0.003002689072592544,0.34030941280000004,0.0,0.67089,0.09536742204703806,0.0007438001232723458,0.9998599999999999,1.625000000000252e-05,0.8437548494338989,0.002965575699698072,0.0818159529722618,0.0014983074801003793,0.8437548494338989,0.002965575699698072,0.0818159529722618,0.0014983074801003793,-1,0.30967,0.14663,0.1174,0.08523,0.08323,0.08485,0.08471,0.08828,0.5,0.5,False,0.1557398574578145,199.2265625,120.0
synthetic_x0.5,resampled,0.7208399999999999,triangular,triangular,3.0,1.0,0.1,6,ev_greedy,50000,25,0.19882088761603153,0.3614839127845453,0.0034583731224129277,0.0,0.07286259128724529,4.650450596707618,59.174490495137505,0.002,0.00015545631755148025,30.564388000000008,4.926508031603724,24.100000000000005,40.0,0.25312,0.002662146690173176,0.4268320352000001,0.0,0.75745,0.004065781014325249,4.036366168701881e-05,0.999875,2.5000000000001875e-05,0.9145017910003662,0.003584978066220882,0.05989391039686481,0.0007168684335209497,0.9145017910003662,0.003584978066220882,0.05989391039686481,0.0007168684335209497,-1,0.33278,0.14808,0.11151,0.08001,0.07966,0.08196,0.08119,0.08481,-1.0,0.1557398574578145,True,0.1557398574578145,199.2265625,120.0
