strength_config,top8_title_share,ladder,teams_per_drafter,policy,spearman_mean,skill_variance_share,top_tie_rate,winning_score_mean,slot_win_prob_spread,champion_undrafted_rate,p_champion_holder_wins
synthetic_x1,0.931,linear,6,variance,0.3012,0.1161,0.1785,13.829,0.1418,0.0001,0.5009
synthetic_x1,0.931,linear,8,ev_greedy,0.2733,0.0965,0.1748,14.5034,0.239,0.0,0.4935
synthetic_x1,0.931,linear,8,variance,0.3025,0.1177,0.1733,14.5683,0.1475,0.0,0.4902
synthetic_x1,0.931,triangular,4,ev_greedy,0.3581,0.1702,0.0439,30.2526,0.4111,0.0014,0.8081
synthetic_x1,0.931,triangular,4,variance,0.3608,0.1714,0.0453,30.2747,0.3609,0.0015,0.8059
synthetic_x1,0.931,triangular,5,ev_greedy,0.3607,0.1729,0.047,31.8988,0.4052,0.0003,0.7862
synthetic_x1,0.931,triangular,5,variance,0.3642,0.1744,0.05,31.9296,0.3551,0.0002,0.7824
synthetic_x1,0.931,triangular,6,ev_greedy,0.3476,0.1614,0.0485,32.8727,0.3864,0.0001,0.7658
synthetic_x1,0.931,triangular,6,variance,0.3526,0.164,0.0493,32.9094,0.3393,0.0001,0.7643
synthetic_x1,0.931,triangular,8,ev_greedy,0.3515,0.1652,0.0462,33.6818,0.3879,0.0,0.7601
synthetic_x1,0.931,triangular,8,variance,0.3569,0.1682,0.0483,33.7298,0.3423,0.0,0.759
synthetic_x1,0.931,geometric,4,ev_greedy,0.377,0.2299,0.0003,38.7612,0.5109,0.0015,0.9996
synthetic_x1,0.931,geometric,4,variance,0.3837,0.2301,0.0004,38.7743,0.511,0.0014,0.9997
synthetic_x1,0.931,geometric,5,ev_greedy,0.3807,0.2321,0.0006,39.9554,0.511,0.0003,0.9991
synthetic_x1,0.931,geometric,5,variance,0.3863,0.2319,0.0005,39.9624,0.5107,0.0002,0.9992
synthetic_x1,0.931,geometric,6,ev_greedy,0.3734,0.2259,0.0007,40.672,0.5107,0.0001,0.9989
synthetic_x1,0.931,geometric,6,variance,0.3792,0.2264,0.0007,40.6964,0.5104,0.0,0.9988
synthetic_x1,0.931,geometric,8,ev_greedy,0.3776,0.2284,0.001,41.3186,0.5105,0.0,0.9986
synthetic_x1,0.931,geometric,8,variance,0.3828,0.2294,0.0008,41.3703,0.5104,0.0,0.9986
synthetic_x2,0.9978,linear,4,ev_greedy,0.4614,0.2604,0.2595,11.568,0.4289,0.0,0.5784
synthetic_x2,0.9978,linear,4,variance,0.5774,0.4522,0.1887,11.887,0.0839,0.1727,0.6712
synthetic_x2,0.9978,linear,5,ev_greedy,0.4686,0.2712,0.2448,12.6371,0.4359,0.0,0.5749
synthetic_x2,0.9978,linear,5,variance,0.5731,0.4464,0.1796,13.0048,0.0668,0.1046,0.6432
synthetic_x2,0.9978,linear,6,ev_greedy,0.4129,0.214,0.2466,13.209,0.3636,0.0,0.5165
synthetic_x2,0.9978,linear,6,variance,0.5963,0.4639,0.1663,14.059,0.0703,0.0,0.6347
synthetic_x2,0.9978,linear,8,ev_greedy,0.4245,0.2274,0.2363,13.4726,0.3802,0.0,0.5243
synthetic_x2,0.9978,linear,8,variance,0.6008,0.4649,0.1672,14.3369,0.0923,0.0,0.614
synthetic_x2,0.9978,triangular,4,ev_greedy,0.5477,0.4051,0.0322,29.4658,0.6966,0.0,0.8666
synthetic_x2,0.9978,triangular,4,variance,0.5756,0.4436,0.0354,29.924,0.1938,0.0,0.8579
synthetic_x2,0.9978,triangular,5,ev_greedy,0.5501,0.4107,0.0421,30.6829,0.6919,0.0,0.8594
synthetic_x2,0.9978,triangular,5,variance,0.5755,0.4423,0.0459,31.0426,0.204,0.0,0.8437
synthetic_x2,0.9978,triangular,6,ev_greedy,0.5394,0.3941,0.0494,31.1574,0.6755,0.0,0.8445
synthetic_x2,0.9978,triangular,6,variance,0.5699,0.4344,0.0495,31.6871,0.198,0.0,0.8379
synthetic_x2,0.9978,triangular,8,ev_greedy,0.5427,0.399,0.0484,31.4243,0.6785,0.0,0.8459
synthetic_x2,0.9978,triangular,8,variance,0.5718,0.4363,0.049,31.919,0.2021,0.0,0.8358
synthetic_x2,0.9978,geometric,4,ev_greedy,0.578,0.5678,0.0,38.1389,0.8085,0.0,0.9999
synthetic_x2,0.9978,geometric,4,variance,0.6018,0.5725,0.0,38.2132,0.5439,0.0,1.0
synthetic_x2,0.9978,geometric,5,ev_greedy,0.5815,0.5708,0.0,39.1674,0.8085,0.0,0.9999
synthetic_x2,0.9978,geometric,5,variance,0.6038,0.574,0.0001,39.1503,0.5439,0.0,1.0
synthetic_x2,0.9978,geometric,6,ev_greedy,0.5744,0.5626,0.0,39.5629,0.8084,0.0,0.9999
synthetic_x2,0.9978,geometric,6,variance,0.5986,0.5689,0.0001,39.7174,0.5439,0.0,1.0
synthetic_x2,0.9978,geometric,8,ev_greedy,0.5777,0.5652,0.0001,39.8179,0.8084,0.0,0.9999
synthetic_x2,0.9978,geometric,8,variance,0.6016,0.5728,0.0,40.0348,0.5439,0.0,1.0
